,ID_CONCURSO,Órgão,Cargo,Banca,Local,Inscrição início,Inscrição fim,Data da prova,Status,Vagas,Salário base,Benefícios principais,Jornada,Estrutura objetiva,Discursiva,Edital oficial,Pasta Drive,Observações
0,CRBIO01-2026-ATI,CRBio-01,Analista – Analista de Tecnologia da Informação,Instituto Quadrix,São Paulo/SP,21/09/2026,21/10/2026,29/11/2026,inscrições abertas,"30 CR (18 AC, 2 PcD, 8 PN, 1 PI, 1 PQ)",7181.5,VR R$ 1.540; VA R$ 950; plano de saúde; plano de carreira; vale-transporte,40h/semana,120 itens: 40 básicos + 30 complementares + 50 específicos,20–30 linhas sobre conhecimentos específicos,https://anexos-r2.selecao.net.br/uploads/861/concursos/3071/anexos/1afe4f0b-7113-4dad-bf04-0c578b3fd24a.pdf,1GUtGFzXVMp1PK9VDS_fueuTiwPpk_1lW,Prova à tarde; banca Certo/Errado com penalização por erro.
1,SETEC-2026-ATI,SETEC – Serviços Técnicos Gerais,Analista Técnico (Informática),INDEPAC,Campinas/SP,08/09/2026,04/12/2026,17/01/2027,inscrições abertas,1 vaga + CR,8285.32,Vale-alimentação conforme edital,36h/semana ou até 180h/mês em escala,40 questões: 10 Português + 10 Matemática + 20 específicos,1 questão teórico-prática,https://anexos-r2.selecao.net.br/uploads/815/concursos/109/anexos/52b446b1-6df2-4a0c-a457-2215b9f5b58f.pdf,14XvemdkwUmOWHQDcNtVgQglY03Nbdjab,Prova em Campinas; objetiva de múltipla escolha com 4 alternativas.
,ID_TÓPICO,Disciplina,Assunto,Subassunto / escopo,CRBio,SETEC,Cobertura,Prioridade inicial,Fase,Status editorial,Observação
0,PORT-001,Português,Interpretação de textos,Compreensão e interpretação,Sim,Sim,Comum,5,Fase 1,ausente,Alta reutilização
1,PORT-002,Português,Semântica,"Sinônimos, antônimos, sentido próprio/figurado, denotação/conotação",Sim,Sim,Comum,5,Fase 1,ausente,
2,PORT-003,Português,Ortografia e acentuação,Ortografia oficial e acentuação,Sim,Sim,Comum,5,Fase 1,ausente,
3,PORT-004,Português,Pontuação,Emprego dos sinais de pontuação,Sim,Sim,Comum,5,Fase 1,ausente,
4,PORT-005,Português,Classes de palavras,"Substantivo, adjetivo, numeral, pronome, verbo, advérbio, preposição, conjunção",Sim,Sim,Comum,5,Fase 1,ausente,
5,PORT-006,Português,Sintaxe,"Coordenação, subordinação e relações entre orações",Sim,Sim,Comum,5,Fase 1,ausente,
6,PORT-007,Português,"Concordância, regência e crase",Concordância verbal/nominal; regência; crase,Sim,Sim,Comum,5,Fase 1,ausente,
7,PORT-008,Português,Colocação pronominal,"Próclise, mesóclise, ênclise",Sim,Sim,Comum,4,Fase 1,ausente,
8,PORT-009,Português,"Coesão, coerência e reescrita","Conectivos, equivalência e reestruturação textual",Sim,Parcial,Parcial,4,Fase 1,ausente,CRBio é mais explícito
9,PORT-010,Português,Tipologia e figuras de linguagem,Tipos textuais e figuras de linguagem,Sim,Não,Só CRBio,3,Fase 1,ausente,
10,MAT-001,Matemática/RLM,Números e operações,Conjuntos/números inteiros e racionais; operações,Sim,Sim,Comum,5,Fase 1,ausente,
11,MAT-002,Matemática/RLM,Razão e proporção,Grandezas proporcionais,Sim,Sim,Comum,5,Fase 1,ausente,
12,MAT-003,Matemática/RLM,Regra de três,Simples e composta,Sim,Sim,Comum,5,Fase 1,ausente,
13,MAT-004,Matemática/RLM,Porcentagem,Porcentagens e variações,Sim,Sim,Comum,5,Fase 1,ausente,
14,MAT-005,Matemática/RLM,Juros,Juros simples e compostos,Sim,Sim,Comum,5,Fase 1,ausente,
15,MAT-006,Matemática/RLM,Equações,Funções/equações; 1º grau,Sim,Sim,Parcial,4,Fase 1,ausente,Escopos não idênticos
16,MAT-007,Matemática/RLM,Tabelas e gráficos,Leitura e interpretação,Sim,Sim,Comum,4,Fase 1,ausente,
17,MAT-008,Matemática/RLM,Raciocínio lógico,"Proposições, conectivos, argumentação, raciocínio sequencial",Sim,Sim,Parcial,5,Fase 1,ausente,SETEC traz Raciocínio Lógico de forma genérica
18,MAT-009,Matemática/RLM,Probabilidade e combinatória,Probabilidade e análise combinatória,Sim,Não,Só CRBio,3,Fase 1,ausente,
19,MAT-010,Matemática/RLM,Estatística básica,"Média, moda e mediana",Sim,Não,Só CRBio,3,Fase 1,ausente,
20,MAT-011,Matemática/RLM,PA e PG,Progressões aritmética e geométrica,Sim,Não,Só CRBio,2,Fase 1,ausente,
21,MAT-012,Matemática/RLM,Geometria e medidas,"Área, volume e unidades de medida",Parcial,Sim,Parcial,3,Fase 2,ausente,Mais explícito na SETEC
22,ING-001,Inglês,Interpretação técnica,Textos gerais e técnicos de TI,Sim,Não,Só CRBio,4,Fase 1,ausente,
23,ING-002,Inglês,Vocabulário de TI,Vocabulário profissional e terminologia,Sim,Não,Só CRBio,3,Fase 1,ausente,
24,ING-003,Inglês,Gramática para leitura,"Tempos, modais, pronomes, preposições, conjunções",Sim,Não,Só CRBio,3,Fase 1,ausente,
25,TI-FUND-001,TI,Arquitetura de computadores,"Organização, hardware, software e periféricos",Sim,Sim,Comum,5,Fase 1,ausente,
26,TI-SO-001,TI,Windows e Linux,Conceitos e administração de sistemas operacionais,Sim,Sim,Comum,5,Fase 1,ausente,
27,TI-SO-002,TI,"Processos, memória, arquivos e usuários",Gerenciamento de recursos do SO,Sim,Parcial,Parcial,4,Fase 1,ausente,
28,TI-SO-003,TI,Virtualização,Conceitos e uso,Não,Sim,Só SETEC,3,Fase 2,ausente,
29,TI-CLOUD-001,TI,Computação em nuvem,Fundamentos e conceitos,Sim,Sim,Comum,4,Fase 1,ausente,
30,TI-RED-001,TI,Modelos e arquitetura de redes,"OSI, TCP/IP, LAN/WAN/WLAN, topologias",Sim,Sim,Comum,5,Fase 1,ausente,
31,TI-RED-002,TI,Protocolos de rede,"IPv4/IPv6, TCP/UDP, HTTP/HTTPS, DNS, SMTP, FTP",Sim,Sim,Parcial,5,Fase 1,ausente,SETEC não enumera todos
32,TI-RED-003,TI,Equipamentos de rede,"Switches, roteadores, APs, firewalls",Sim,Sim,Comum,5,Fase 1,ausente,
33,TI-RED-004,TI,Roteamento e switching,"Roteamento, switching e VLANs",Parcial,Sim,Parcial,4,Fase 1,ausente,Mais aprofundado na SETEC
34,TI-RED-005,TI,Serviços de rede,"DNS, DHCP, NAT e serviços",Parcial,Sim,Parcial,4,Fase 1,ausente,
35,TI-RED-006,TI,VPN e redes sem fio,"VPN, wireless e segurança de rede",Sim,Sim,Comum,4,Fase 1,ausente,
36,TI-SEG-001,TI,Princípios de segurança,"Confidencialidade, integridade, disponibilidade, autenticidade",Sim,Sim,Comum,5,Fase 1,ausente,
37,TI-SEG-002,TI,Criptografia e autenticação,"Criptografia, certificados, assinatura, controle de acesso",Sim,Sim,Comum,5,Fase 1,ausente,
38,TI-SEG-003,TI,Ameaças e proteção,"Ataques, vulnerabilidades, firewall, antivírus",Sim,Sim,Comum,5,Fase 1,ausente,
39,TI-SEG-004,TI,Backup e continuidade,"Backup, restauração, continuidade e desastre",Sim,Sim,Comum,5,Fase 1,ausente,
40,TI-SEG-005,TI,ISO/IEC 27001 e 27002,Noções das normas,Sim,Não,Só CRBio,3,Fase 1,ausente,
41,TI-BD-001,TI,Banco de dados relacional,Fundamentos e SGBDs,Sim,Sim,Comum,5,Fase 1,ausente,
42,TI-BD-002,TI,Modelagem e normalização,Modelagem relacional e normalização,Sim,Sim,Comum,5,Fase 1,ausente,
43,TI-BD-003,TI,SQL,Consulta e manipulação de dados,Sim,Sim,Comum,5,Fase 1,produzido,"Conteúdo SQL completo e auditado: 28/28 subtemas concluídos; 288 questões autorais comentadas; questões reais Quadrix, discursivas, fontes, mídias e revisão final registradas. Aguardando validação/publicação."
44,TI-BD-004,TI,Administração de banco,Administração básica de SGBDs,Sim,Sim,Comum,4,Fase 1,ausente,
45,TI-ES-001,TI,Engenharia de software,"Conceitos, ciclo de vida e modelos",Sim,Sim,Comum,5,Fase 1,ausente,
46,TI-ES-002,TI,Requisitos e análise de sistemas,Levantamento e análise de requisitos,Parcial,Sim,Parcial,4,Fase 1,ausente,
47,TI-ES-003,TI,UML,"Casos de uso, classes, atividades",Sim,Sim,Comum,4,Fase 1,ausente,
48,TI-ES-004,TI,Metodologias de desenvolvimento,"Scrum, Kanban, ágeis e tradicionais",Sim,Sim,Comum,5,Fase 1,ausente,
49,TI-ES-005,TI,Testes de software,Princípios e técnicas de teste,Sim,Sim,Comum,4,Fase 1,ausente,
50,TI-ES-006,TI,Versionamento,Controle de versão de código,Não,Sim,Só SETEC,3,Fase 2,ausente,
51,TI-PROG-001,TI,Lógica de programação,Fundamentos,Não,Sim,Só SETEC,3,Fase 2,ausente,
52,TI-PROG-002,TI,Estruturas de dados,Estruturas fundamentais,Não,Sim,Só SETEC,3,Fase 2,ausente,
53,TI-PROG-003,TI,Programação orientada a objetos,Conceitos de POO,Não,Sim,Só SETEC,3,Fase 2,ausente,
54,TI-WEB-001,TI,Desenvolvimento Web,Sistemas para ambiente web,Não,Sim,Só SETEC,3,Fase 2,ausente,
55,TI-WEB-002,TI,APIs e serviços Web,APIs e web services,Não,Sim,Só SETEC,3,Fase 2,ausente,
56,TI-GOV-001,TI,ITIL e COBIT,Governança e gestão de serviços,Sim,Sim,Comum,5,Fase 1,ausente,
57,TI-GOV-002,TI,Gestão de serviços,"Operação, processos e serviços de TI",Sim,Sim,Comum,4,Fase 1,ausente,
58,TI-GOV-003,TI,Gestão de riscos,Riscos de TI/TIC,Sim,Sim,Comum,4,Fase 1,ausente,
59,TI-GOV-004,TI,"SLA, indicadores e métricas",Indicadores e níveis de serviço,Sim,Parcial,Parcial,4,Fase 1,ausente,
60,TI-GOV-005,TI,Gestão de projetos / PMBOK,Gestão de projetos e noções de PMBOK,Não,Sim,Só SETEC,3,Fase 2,ausente,
61,TI-INFRA-001,TI,Servidores Windows/Linux,Administração de servidores,Parcial,Sim,Parcial,4,Fase 1,ausente,
62,TI-INFRA-002,TI,Active Directory,"AD, usuários, permissões e compartilhamentos",Não,Sim,Só SETEC,3,Fase 2,ausente,
63,TI-INFRA-003,TI,Microsoft 365,Administração e serviços,Não,Sim,Só SETEC,3,Fase 2,ausente,
